"Innehåll","Antal","Artikelnummer","Tillverkarens artikelnummer","Beskrivning","Kundreferens","Tillgängligt","Restorder","Enhetspris","Summa EUR"
"1","100","A106145CT-ND","RCU-0C","PC TEST POINT NATURAL","","100","0","0,13040","13,04"
"2","3","497-5235-1-ND","USBLC6-2SC6","TVS DIODE 5.25V 17V SOT23-6","","3","0","0,40000","1,20"
